User,n,EER,AUC
0,1,0.3571428571428571,0.7169187265090287
10,1,0.3255660584738873,0.7477945733401392
11,1,0.22641509433963414,0.8640443495148767
12,1,0.2222465993866733,0.8618898744227836
13,1,0.20202020202024332,0.8919707231323839
14,1,0.27819548872189603,0.795217959988148
15,1,0.32000000000000006,0.7314829226113273
16,1,0.2086956521751508,0.8743512767425812
17,1,0.2952380952380952,0.76517724447899
18,1,0.2837837837835314,0.7678505031256535
19,1,0.22119815668202736,0.8918502283702502
1,1,0.23837209302325577,0.856282746575972
20,1,0.23379978471427723,0.8514747039827771
21,1,0.27276697968984875,0.8082045659495508
22,1,0.3621025308247766,0.7343632197812121
23,1,0.3210514975209485,0.7028811524609845
24,1,0.21825396825361065,0.8714335383982232
25,1,0.3314260563376074,0.7353999688740175
26,1,0.2188955422474247,0.8749219431081513
27,1,0.2696799307944071,0.8308547900128911
28,1,0.22689075630252103,0.8370583310380806
29,1,0.22051282051286786,0.854885379521141
2,1,0.3287521815000479,0.7297327815057887
30,1,0.4385964912280702,0.5924030465970023
3,1,0.18024149286479937,0.9065007927796072
4,1,0.2931034482762141,0.7957914166818172
5,1,0.1979323713129743,0.8799031324364505
6,1,0.06091370558375626,0.9823405633979659
7,1,0.1924641404419822,0.8705071481243607
8,1,0.22535211267605643,0.8524242433699619
9,1,0.27485380116958597,0.8007715960226215
Mean,1,0.2595633449431944,0.8153768852533786
